Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9455573,8556729,"£500,000","£250,000",50.00%,30 Dec 2024,£14.625000,0.26%,Live,2,9455573,1,30/12/2024,0
9645647,8666945,"£545,750","£234,000",46.54%,01 Feb 2025,£13.689000,0.25%,Live,2,9645647,2,01/02/2025,0
9741403,8632805,"£650,000","£225,000",50.00%,01 Jan 2025,£13.162500,0.24%,Live,2,9741403,3,01/01/2025,0
9225128 c,8520081,"£1,500,000","£31,000",39.93%,17 Oct 2024,£1.813500,0.03%,Extended (No ICF),2,9225128,3,17/04/2024,183
9139612 b,8728067,"£2,050,000","£50,000",39.15%,24 Nov 2024,£2.925000,0.05%,Extended (No ICF),2,9139612,3,24/08/2023,458
9146926 b,8553312,"£1,250,000","£110,000",49.20%,26 Jan 2025,£6.435000,0.12%,Extended (No ICF),2,9146926,5,26/01/2025,0
9485951,8363271,"£1,300,000","£450,000",34.62%,16 Sep 2024,£26.325000,0.47%,Extended (No ICF),1,9485951,1,16/06/2024,92
9627869,8874957,"£1,200,000","£525,000",43.75%,06 Feb 2025,£30.712500,0.55%,Live,2,9627869,1,06/02/2025,0
9271056,8396900,"£280,000","£140,000",50.00%,19 Nov 2024,£8.190000,0.15%,Extended (No ICF),2,9271056,1,19/05/2024,184
9455066 b,8587271,"£980,000","£50,000",49.95%,22 Dec 2024,£2.925000,0.05%,Extended (No ICF),2,9455066,6,22/12/2024,0
9436620 b,8165228,"£1,000,000","£32,000",50.00%,25 Jan 2025,£1.872000,0.03%,Live,2,9436620,3,25/01/2025,0
9759623 b,8593913,"£1,430,000","£125,000",41.08%,18 Nov 2024,£7.312500,0.13%,Extended (No ICF),2,9759623,2,18/05/2024,184
9918722,8793461,"£250,000","£112,500",45.00%,23 Jan 2025,£6.581250,0.12%,Live,2,9918722,1,23/01/2025,0
9609834,8794947,"£720,000","£360,000",50.00%,14 Feb 2025,£21.060000,0.38%,Live,2,9609834,1,14/02/2025,0
9540385,8620141,"£470,000","£235,000",50.00%,14 Feb 2025,£13.747500,0.25%,Live,2,9540385,1,14/02/2025,0
9121976,8127987,"£475,000","£237,500",50.00%,14 Feb 2025,£13.893750,0.25%,Live,2,9121976,1,14/02/2025,0
9308782,8637941,"£285,000","£142,500",50.00%,18 Feb 2025,£8.336250,0.15%,Live,2,9308782,1,18/02/2025,0
9436620 c,8165228,"£1,000,000","£18,000",50.00%,25 Jan 2025,£1.053000,0.02%,Live,2,9436620,3,25/01/2025,0
9231198 b,8441991,"£2,069,617","£80,000",49.91%,29 May 2025,£4.680000,0.08%,Live,4,9231198,4,29/05/2025,0
9514443,8418494,"£1,200,000","£600,000",50.00%,20 Jan 2025,£35.100000,0.63%,Live,2,9514443,1,20/01/2025,0
9664424,8978473,"£1,670,000","£835,000",50.00%,20 Jan 2025,£48.847500,0.88%,Live,2,9664424,1,20/01/2025,0
9281955,8119838,"£1,021,130","£400,000",47.99%,21 Feb 2025,£23.400000,0.42%,Live,2,9281955,3,21/02/2025,0
9173264,8630405,"£1,650,000","£400,000",49.70%,21 Jan 2025,£23.400000,0.42%,Live,2,9173264,4,21/01/2025,0
9173264 b,8630405,"£1,650,000","£350,000",49.70%,21 Jan 2025,£20.475000,0.37%,Live,2,9173264,4,21/01/2025,0
9430662,8381602,"£855,000","£400,000",46.78%,27 Feb 2025,£23.400000,0.42%,Live,2,9430662,1,27/02/2025,0
9282256,8592449,"£500,000","£250,000",50.00%,13 Feb 2025,£14.625000,0.26%,Live,2,9282256,1,13/02/2025,0
9919857 c,8755537,"£4,140,080","£125,000",42.07%,14 Nov 2024,£7.312500,0.13%,Live,4,9919857,8,14/11/2024,0
9591028 b,8210464,"£920,000","£30,000",50.00%,18 Nov 2024,£1.755000,0.03%,Extended (No ICF),2,9591028,2,18/05/2024,184
9371113 b,8255061,"£500,000","£35,000",49.50%,16 Aug 2024,£2.047500,0.04%,Extended (No ICF),2,9371113,2,16/08/2024,0
9455066 c,8587271,"£980,000","£100,000",49.95%,22 Dec 2024,£5.850000,0.10%,Extended (No ICF),2,9455066,6,22/12/2024,0
9617357,8163702,"£855,000","£370,000",43.27%,26 Feb 2025,£21.645000,0.39%,Live,2,9617357,1,26/02/2025,0
