Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9753951,8598970,"£570,000","£225,000",49.12%,10 Jun 2025,£12.447000,0.22%,Live,2,9753951,2,10/06/2025,0
9867335 b,8339863,"£575,000","£25,000",50.00%,23 May 2025,£1.383000,0.02%,Live,2,9867335,3,23/05/2025,0
9658117,8628313,"£625,000","£187,000",49.92%,16 May 2025,£10.344840,0.18%,Live,2,9658117,3,16/05/2025,0
9553782 b,8132827,"£1,780,000","£25,000",31.01%,23 Apr 2025,£1.383000,0.02%,Live,1,9553782,4,23/04/2025,0
9615559 b,8362045,"£674,750","£30,000",49.35%,22 May 2025,£1.659600,0.03%,Live,2,9615559,6,22/05/2025,0
9684217 b,8847465,"£650,000","£80,000",47.69%,17 Mar 2025,£4.425600,0.08%,Live,2,9684217,2,17/03/2025,0
9134273 b,8786287,"£830,000","£140,000",49.10%,29 Aug 2025,£7.744800,0.14%,Extended (No ICF),2,9134273,2,29/11/2024,273
9867884,8584958,"£2,850,000","£1,425,000",50.00%,27 Mar 2025,£78.831000,1.38%,Live,2,9867884,1,27/03/2025,0
9553145,8879922,"£520,000","£222,500",42.79%,19 Jun 2025,£12.308700,0.22%,Extended (No ICF),2,9553145,1,19/12/2024,182
9850896 b,8727048,"£550,000","£24,500",48.09%,16 Apr 2025,£1.355340,0.02%,Live,2,9850896,2,16/04/2025,0
9377641,8143083,"£750,000","£300,000",50.00%,20 May 2025,£16.596000,0.29%,Live,2,9377641,3,20/05/2025,0
9109634 b,8785857,"£2,370,000","£200,000",49.37%,11 Mar 2025,£11.064000,0.19%,Extended (No ICF),2,9109634,5,11/09/2024,181
9766080,8876184,"£660,000","£275,000",48.48%,23 May 2025,£15.213000,0.27%,Live,2,9766080,2,23/05/2025,0
9159872,8847450,"£665,000","£245,000",50.00%,23 Jun 2025,£13.553400,0.24%,Live,2,9159872,2,23/06/2025,0
9715106,8304771,"£625,000","£220,000",48.00%,24 May 2025,£12.170400,0.21%,Live,2,9715106,4,24/05/2025,0
9681358 b,8332217,"£1,047,375","£20,000",40.10%,12 Jan 2025,£1.106400,0.02%,Live,2,9681358,2,12/01/2025,0
